OrderID,ProductID,ProductName,Amount,Price,Discount
2021010100019000,111,Trà Sữa Socola,2,45187,5
2021010100019000,128,Bánh Croissant,1,35591,5
2021010100019000,113,Trà Đào Cam Sả,3,40881,5
2021010100019000,108,Macchiato,3,54212,0
2021010100019000,125,Bánh Mì Pate,2,24509,5
2021010100019001,109,Trà Sữa Truyền Thống,1,36957,0
2021010100019001,124,Bánh Mì Trứng,3,29963,0
2021010100019001,111,Trà Sữa Socola,1,48982,0
2021010100019001,120,Nước Ép Cam,1,30021,0
2021010100019002,121,Nước Ép Dưa Hấu,3,34744,0
2021010100019002,119,Sinh Tố Sapoche,1,42112,10
2021010100019002,114,Trà Chanh,3,28576,0
2021010100019002,134,Xúc Xích,2,25580,5
2021010100019003,109,Trà Sữa Truyền Thống,3,42781,5
2021010100019004,116,Sinh Tố Bơ,1,46481,10
2021010100019005,114,Trà Chanh,2,31269,10
2021010100019006,140,Bánh Quy,3,21264,0
2021010100019006,127,Bánh Ngọt Kem,3,40483,0
2021010100019006,112,Trà Sữa Dâu,2,44887,10
2021010100019006,131,Pizza Mini,3,64368,0
2021010100019007,140,Bánh Quy,2,24947,15
2021010100019007,126,Bánh Ngọt Socola,2,42228,10
2021010100019007,133,Cơm Rang,2,44182,15
2021010100019007,130,Hamburger,3,51284,5
2021010100019008,131,Pizza Mini,2,58002,0
2021010100019008,104,Cappuccino,2,53003,0
2021010100019008,133,Cơm Rang,1,37888,0
2021010100019008,113,Trà Đào Cam Sả,2,40512,0
2021010100019009,130,Hamburger,3,47169,0
2021010100019010,121,Nước Ép Dưa Hấu,1,28396,15
