OrderID,ProductID,ProductName,Amount,Price,Discount
2021010101039000,123,Bánh Mì Thịt,3,26201,10
2021010101039000,117,Sinh Tố Xoài,2,43767,15
2021010101039000,124,Bánh Mì Trứng,2,23333,0
2021010101039001,116,Sinh Tố Bơ,3,46212,0
2021010101039001,118,Sinh Tố Dâu,3,36519,15
2021010101039001,124,Bánh Mì Trứng,1,21274,0
2021010101039002,111,Trà Sữa Socola,2,43210,0
2021010101039002,110,Trà Sữa Matcha,2,39121,10
2021010101039002,126,Bánh Ngọt Socola,2,42018,10
2021010101039002,134,Xúc Xích,1,27762,0
2021010101039003,119,Sinh Tố Sapoche,3,40133,15
2021010101039004,114,Trà Chanh,2,29003,5
2021010101039004,110,Trà Sữa Matcha,3,39117,10
