OrderID,ProductID,ProductName,Amount,Price,Discount
2021010100040000,133,Cơm Rang,2,43797,10
2021010100040000,121,Nước Ép Dưa Hấu,2,34811,15
2021010100040000,135,Gà Rán,3,45773,15
2021010100040000,134,Xúc Xích,2,29719,5
2021010100040001,126,Bánh Ngọt Socola,3,40220,0
2021010100040001,131,Pizza Mini,1,67388,0
2021010100040001,117,Sinh Tố Xoài,2,42364,15
2021010100040001,102,Cà phê Sữa,1,38677,0
2021010100040002,127,Bánh Ngọt Kem,3,43772,0
2021010100040003,133,Cơm Rang,2,42723,0
2021010100040003,120,Nước Ép Cam,1,38186,0
2021010100040003,108,Macchiato,1,46309,5
2021010100040003,129,Sandwich,2,37981,15
2021010100040004,111,Trà Sữa Socola,3,43474,10
