OrderID,ProductID,ProductName,Amount,Price,Discount
2021010101004000,129,Sandwich,1,40206,5
2021010101004001,116,Sinh Tố Bơ,3,41959,0
2021010101004002,125,Bánh Mì Pate,2,27282,15
2021010101004003,122,Nước Ép Táo,1,32212,5
2021010101004004,115,Trà Vải,2,35687,15
2021010101004004,138,Kẹo Socola,2,10199,10
2021010101004005,132,Mì Ý,3,65936,0
2021010101004005,131,Pizza Mini,2,66395,0
2021010101004006,110,Trà Sữa Matcha,1,45888,0
2021010101004006,101,Cà phê Đen,1,25429,0
2021010101004007,112,Trà Sữa Dâu,3,43725,15
2021010101004007,108,Macchiato,2,51308,0
2021010101004007,123,Bánh Mì Thịt,1,26820,0
2021010101004007,114,Trà Chanh,3,31015,10
2021010101004007,117,Sinh Tố Xoài,2,35222,10
2021010101004008,103,Espresso,1,51079,0
2021010101004008,105,Latte,3,46733,15
2021010101004008,139,Kẹo Dẻo,1,8936,0
2021010101004008,133,Cơm Rang,3,39977,15
2021010101004009,104,Cappuccino,3,53892,0
2021010101004010,117,Sinh Tố Xoài,2,44131,0
2021010101004011,126,Bánh Ngọt Socola,2,37978,0
2021010101004011,136,Snack Khoai Tây,1,15375,10
