OrderID,ProductID,ProductName,Amount,Price,Discount
2021010101021000,120,Nước Ép Cam,2,33167,0
2021010101021000,113,Trà Đào Cam Sả,3,35606,0
2021010101021001,109,Trà Sữa Truyền Thống,3,38615,10
2021010101021001,139,Kẹo Dẻo,2,8049,0
2021010101021001,104,Cappuccino,3,52427,10
2021010101021001,123,Bánh Mì Thịt,1,29249,0
2021010101021001,111,Trà Sữa Socola,3,48507,0
2021010101021002,104,Cappuccino,1,47119,0
2021010101021002,129,Sandwich,2,43005,0
2021010101021003,140,Bánh Quy,3,16877,0
2021010101021003,113,Trà Đào Cam Sả,1,39000,0
2021010101021003,111,Trà Sữa Socola,1,48967,0
2021010101021003,127,Bánh Ngọt Kem,1,38342,15
2021010101021003,121,Nước Ép Dưa Hấu,1,28761,5
2021010101021004,134,Xúc Xích,1,32373,0
2021010101021004,111,Trà Sữa Socola,1,43141,15
2021010101021005,103,Espresso,1,51288,15
2021010101021005,110,Trà Sữa Matcha,2,48572,15
2021010101021005,126,Bánh Ngọt Socola,3,43474,0
