OrderID,ProductID,ProductName,Amount,Price,Discount
2021010100038000,127,Bánh Ngọt Kem,1,40173,15
2021010100038000,114,Trà Chanh,2,26075,5
2021010100038001,121,Nước Ép Dưa Hấu,3,30486,0
2021010100038001,123,Bánh Mì Thịt,3,29215,0
2021010100038001,135,Gà Rán,1,45672,5
2021010100038001,116,Sinh Tố Bơ,3,42881,0
2021010100038001,132,Mì Ý,3,73587,10
2021010100038002,138,Kẹo Socola,1,16416,0
2021010100038002,104,Cappuccino,1,48793,0
2021010100038002,123,Bánh Mì Thịt,3,31908,15
2021010100038002,121,Nước Ép Dưa Hấu,3,26820,15
2021010100038003,105,Latte,3,45999,15
2021010100038003,116,Sinh Tố Bơ,2,44770,15
2021010100038003,106,Mocha,3,56376,5
2021010100038004,103,Espresso,3,50316,0
2021010100038004,119,Sinh Tố Sapoche,2,43157,0
2021010100038004,129,Sandwich,3,42915,15
2021010100038005,126,Bánh Ngọt Socola,3,43787,0
2021010100038005,139,Kẹo Dẻo,3,13594,15
2021010100038005,129,Sandwich,3,43133,0
2021010100038006,113,Trà Đào Cam Sả,1,42575,15
2021010100038006,106,Mocha,3,52146,0
2021010100038006,137,Snack Bắp Rang,2,13137,15
2021010100038006,117,Sinh Tố Xoài,1,38092,0
2021010100038006,123,Bánh Mì Thịt,2,27023,0
2021010100038007,124,Bánh Mì Trứng,2,22715,15
2021010100038007,110,Trà Sữa Matcha,3,41521,0
2021010100038007,113,Trà Đào Cam Sả,3,38513,15
2021010100038007,131,Pizza Mini,3,52909,5
2021010100038007,117,Sinh Tố Xoài,2,36821,0
2021010100038008,108,Macchiato,2,47797,0
2021010100038008,129,Sandwich,3,39736,0
2021010100038008,139,Kẹo Dẻo,2,12270,0
2021010100038008,137,Snack Bắp Rang,1,18666,5
2021010100038009,105,Latte,3,52420,0
2021010100038009,138,Kẹo Socola,1,15615,10
2021010100038009,134,Xúc Xích,3,29478,0
2021010100038010,130,Hamburger,1,51245,0
2021010100038011,112,Trà Sữa Dâu,1,39070,0
2021010100038011,108,Macchiato,1,49261,10
2021010100038011,128,Bánh Croissant,2,37099,15
2021010100038011,116,Sinh Tố Bơ,2,39357,0
