OrderID,ProductID,ProductName,Amount,Price,Discount
2021010101009000,134,Xúc Xích,3,31130,15
2021010101009000,123,Bánh Mì Thịt,1,30940,0
2021010101009000,137,Snack Bắp Rang,1,12570,10
2021010101009000,126,Bánh Ngọt Socola,2,44118,0
2021010101009000,111,Trà Sữa Socola,3,41510,0
2021010101009001,118,Sinh Tố Dâu,2,44770,10
2021010101009001,114,Trà Chanh,1,28985,0
2021010101009001,110,Trà Sữa Matcha,2,39543,15
2021010101009002,130,Hamburger,2,47118,0
2021010101009002,135,Gà Rán,3,46014,0
2021010101009002,118,Sinh Tố Dâu,2,39195,0
2021010101009002,105,Latte,2,48767,5
2021010101009002,120,Nước Ép Cam,1,34639,15
2021010101009003,120,Nước Ép Cam,3,34019,0
2021010101009003,110,Trà Sữa Matcha,1,42264,0
2021010101009004,118,Sinh Tố Dâu,3,39549,0
2021010101009004,134,Xúc Xích,3,31320,10
2021010101009004,106,Mocha,3,53977,0
