OrderID,ProductID,ProductName,Amount,Price,Discount
2021010100045000,129,Sandwich,1,41537,10
2021010100045000,132,Mì Ý,1,59772,15
2021010100045001,116,Sinh Tố Bơ,1,47604,0
2021010100045002,105,Latte,1,47982,5
2021010100045002,120,Nước Ép Cam,2,35453,0
2021010100045002,114,Trà Chanh,1,33740,5
2021010100045003,123,Bánh Mì Thịt,2,31975,0
2021010100045003,122,Nước Ép Táo,3,29545,0
2021010100045004,137,Snack Bắp Rang,3,19829,15
2021010100045004,117,Sinh Tố Xoài,1,35877,15
2021010100045004,105,Latte,3,49708,5
2021010100045005,133,Cơm Rang,1,35829,0
2021010100045005,129,Sandwich,2,41282,5
2021010100045005,109,Trà Sữa Truyền Thống,2,39995,0
2021010100045005,113,Trà Đào Cam Sả,1,36804,0
2021010100045006,103,Espresso,2,53482,5
2021010100045006,120,Nước Ép Cam,1,36336,0
2021010100045006,104,Cappuccino,1,54411,5
2021010100045007,106,Mocha,3,52965,0
2021010100045007,134,Xúc Xích,3,25874,0
2021010100045007,120,Nước Ép Cam,2,31939,15
2021010100045007,114,Trà Chanh,3,28894,0
2021010100045007,110,Trà Sữa Matcha,2,40070,0
2021010100045008,113,Trà Đào Cam Sả,1,41716,15
2021010100045008,116,Sinh Tố Bơ,3,45139,15
2021010100045009,140,Bánh Quy,2,19346,10
2021010100045009,125,Bánh Mì Pate,1,21171,10
