OrderID,ProductID,ProductName,Amount,Price,Discount
2021010100012000,129,Sandwich,3,44619,15
2021010100012001,109,Trà Sữa Truyền Thống,2,41098,0
2021010100012001,116,Sinh Tố Bơ,3,49000,5
2021010100012001,125,Bánh Mì Pate,1,24086,0
2021010100012001,131,Pizza Mini,2,49683,0
2021010100012001,120,Nước Ép Cam,3,29944,10
2021010100012002,112,Trà Sữa Dâu,3,47442,0
2021010100012002,111,Trà Sữa Socola,3,40389,15
2021010100012002,137,Snack Bắp Rang,2,16444,10
2021010100012002,109,Trà Sữa Truyền Thống,2,43112,0
2021010100012002,136,Snack Khoai Tây,1,16515,0
2021010100012003,124,Bánh Mì Trứng,1,20042,5
2021010100012003,119,Sinh Tố Sapoche,2,44200,15
2021010100012003,136,Snack Khoai Tây,2,15017,15
2021010100012003,117,Sinh Tố Xoài,1,37601,0
2021010100012004,120,Nước Ép Cam,2,37500,5
2021010100012004,115,Trà Vải,1,32688,5
2021010100012004,118,Sinh Tố Dâu,2,43176,15
2021010100012005,126,Bánh Ngọt Socola,2,42465,15
2021010100012005,109,Trà Sữa Truyền Thống,3,37137,15
2021010100012005,102,Cà phê Sữa,3,34773,15
2021010100012005,117,Sinh Tố Xoài,1,43897,0
2021010100012005,135,Gà Rán,3,48353,0
2021010100012006,138,Kẹo Socola,3,12227,10
2021010100012006,102,Cà phê Sữa,2,33485,0
2021010100012007,135,Gà Rán,1,36896,0
