OrderID,ProductID,ProductName,Amount,Price,Discount
2021010100050000,116,Sinh Tố Bơ,2,41012,0
2021010100050000,104,Cappuccino,3,52126,0
2021010100050000,120,Nước Ép Cam,3,35687,0
2021010100050000,125,Bánh Mì Pate,3,25632,15
2021010100050001,138,Kẹo Socola,3,19490,0
2021010100050001,120,Nước Ép Cam,3,29344,0
2021010100050001,110,Trà Sữa Matcha,1,47604,5
2021010100050002,113,Trà Đào Cam Sả,2,36116,10
2021010100050003,134,Xúc Xích,2,30498,10
2021010100050003,121,Nước Ép Dưa Hấu,3,26002,10
2021010100050003,123,Bánh Mì Thịt,1,30323,15
2021010100050003,115,Trà Vải,3,29645,10
2021010100050003,129,Sandwich,2,39869,10
2021010100050004,112,Trà Sữa Dâu,3,45662,15
2021010100050004,133,Cơm Rang,1,35938,5
2021010100050004,123,Bánh Mì Thịt,3,28675,15
2021010100050004,110,Trà Sữa Matcha,2,45099,5
2021010100050004,136,Snack Khoai Tây,1,22492,10
2021010100050005,126,Bánh Ngọt Socola,2,44413,5
2021010100050005,131,Pizza Mini,3,63368,10
2021010100050005,113,Trà Đào Cam Sả,2,41174,15
2021010100050005,107,Americano,2,40627,0
2021010100050006,128,Bánh Croissant,2,37049,10
2021010100050006,134,Xúc Xích,2,28739,5
2021010100050006,118,Sinh Tố Dâu,3,40237,15
2021010100050006,111,Trà Sữa Socola,1,45916,5
2021010100050006,121,Nước Ép Dưa Hấu,2,26935,10
2021010100050007,120,Nước Ép Cam,1,35176,15
